#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getAlignmentStats_makeTmpDir		command	1	2048	0	1			mkdir -p /PHShome/hw878/Software/Manta/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_generateStats_000		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetAlignmentStats --output-file /PHShome/hw878/Software/Manta/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam
getAlignmentStats_mergeStats		command	1	2048	0	1	getAlignmentStats_generateStats_000		/apps/lab/miket/manta/0.29.5/libexec/MergeAlignmentStats --output-file /PHShome/hw878/Software/Manta/workspace/alignmentStats.xml --align-stats-file /PHShome/hw878/Software/Manta/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml
getAlignmentStats_rmTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		rm -rf /PHShome/hw878/Software/Manta/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_summarizeStats		command	1	2048	0	0	getAlignmentStats_mergeStats		/apps/lab/miket/manta/0.29.5/libexec/SummarizeAlignmentStats --align-stats /PHShome/hw878/Software/Manta/workspace/alignmentStats.xml --output-file /PHShome/hw878/Software/Manta/results/stats/alignmentStatsSummary.txt
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_000_1		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_000_1 --chrom 1
getChromDepth_sample000_estimateChromDepth_001_2		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_001_2 --chrom 2
getChromDepth_sample000_estimateChromDepth_002_3		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_002_3 --chrom 3
getChromDepth_sample000_estimateChromDepth_003_4		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_003_4 --chrom 4
getChromDepth_sample000_estimateChromDepth_004_5		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_004_5 --chrom 5
getChromDepth_sample000_estimateChromDepth_005_6		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_005_6 --chrom 6
getChromDepth_sample000_estimateChromDepth_006_7		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_006_7 --chrom 7
getChromDepth_sample000_estimateChromDepth_007_8		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_007_8 --chrom 8
getChromDepth_sample000_estimateChromDepth_008_9		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_008_9 --chrom 9
getChromDepth_sample000_estimateChromDepth_009_10		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_009_10 --chrom 10
getChromDepth_sample000_estimateChromDepth_010_11		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_010_11 --chrom 11
getChromDepth_sample000_estimateChromDepth_011_12		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_011_12 --chrom 12
getChromDepth_sample000_estimateChromDepth_012_13		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_012_13 --chrom 13
getChromDepth_sample000_estimateChromDepth_013_14		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_013_14 --chrom 14
getChromDepth_sample000_estimateChromDepth_014_15		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_014_15 --chrom 15
getChromDepth_sample000_estimateChromDepth_015_16		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_015_16 --chrom 16
getChromDepth_sample000_estimateChromDepth_016_17		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_016_17 --chrom 17
getChromDepth_sample000_estimateChromDepth_017_18		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_017_18 --chrom 18
getChromDepth_sample000_estimateChromDepth_018_19		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_018_19 --chrom 19
getChromDepth_sample000_estimateChromDepth_019_20		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_019_20 --chrom 20
getChromDepth_sample000_estimateChromDepth_020_21		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/apps/lab/miket/manta/0.29.5/libexec/GetChromDepth --align-file /PHShome/hw878/Rawdata/practice_bams/14415.fa.bam --output /PHShome/hw878/Software/Manta/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_020_21 --chrom 21
